College,{'https://www.cc.gatech.edu/people?page=66', 'https://www.cc.gatech.edu/news/tag/cybersecurity', 'https://www.cc.gatech.edu/news/phd-student-developing-trust-peace-mind-smart-webcam-cover', 'https://www.cc.gatech.edu/news/professor-deploying-anti-plagiarism-detection-tool-900-student-course', 'https://www.cc.gatech.edu/', 'https://www.cc.gatech.edu/news/new-faculty-member-brings-fearless-approach-ubiquitous-computing', 'https://www.cc.gatech.edu/office-development', 'https://www.cc.gatech.edu/news/639022/cybersecurity-computer-science-take-top-spots-national-rankings', 'https://www.cc.gatech.edu/news/tag/helping-stories', 'https://www.cc.gatech.edu/event/category/conference-symposium', 'https://www.cc.gatech.edu/news/school-welcomes-four-new-assistant-professors', 'https://www.cc.gatech.edu/event/group/institute-data-engineering-and-science-ideas', 'https://www.cc.gatech.edu/media-contacts', 'https://www.cc.gatech.edu/news/648961/new-global-top-5-ranking-based-faculty-research-success', 'https://www.cc.gatech.edu/people?page=11', 'https://www.cc.gatech.edu/news/dual-fellowship-awards-underscore-computer-science-professors-research-impact', 'https://www.cc.gatech.edu/news', 'https://www.cc.gatech.edu/people?page=8', 'https://www.cc.gatech.edu/about/support-the-college/cap', 'https://www.cc.gatech.edu/support-college', 'https://www.cc.gatech.edu/event/category/career-professional-development', 'https://www.cc.gatech.edu/event/group/institute-robotics-and-intelligent-machines-irim', 'https://www.cc.gatech.edu/recruiting-college-computing', 'https://www.cc.gatech.edu/event/group/institute-people-and-technology-ipat', 'https://www.cc.gatech.edu/event/category/training-workshop', 'https://www.cc.gatech.edu/event/category/seminar-lecture-colloquium', 'https://www.cc.gatech.edu/corporate-recruiting', 'https://www.cc.gatech.edu/events', 'https://www.cc.gatech.edu/compiler-gt-computing-communitys-weekly-newsletter', 'https://sci.cc.gatech.edu', 'https://www.cc.gatech.edu/calendar', 'https://www.cc.gatech.edu/people', 'https://www.cc.gatech.edu/people?page=12', 'https://www.cc.gatech.edu/college-computing-broadening-participation-computing-plan-approved', 'https://www.cc.gatech.edu/event/group/machine-learning-georgia-tech-mlgt'}
of,{'https://oria.gatech.edu/', 'https://www.cc.gatech.edu/people?page=66', 'https://www.cc.gatech.edu/news/tag/cybersecurity', 'https://osp.gatech.edu/research-gifts', 'https://www.cc.gatech.edu/news/phd-student-developing-trust-peace-mind-smart-webcam-cover', 'https://www.cc.gatech.edu/news/professor-deploying-anti-plagiarism-detection-tool-900-student-course', 'https://www.cc.gatech.edu/', 'https://www.cc.gatech.edu/news/new-faculty-member-brings-fearless-approach-ubiquitous-computing', 'https://www.cc.gatech.edu/office-development', 'https://www.cc.gatech.edu/news/639022/cybersecurity-computer-science-take-top-spots-national-rankings', 'https://www.cc.gatech.edu/news/tag/helping-stories', 'https://www.cc.gatech.edu/event/category/conference-symposium', 'https://www.cc.gatech.edu/news/school-welcomes-four-new-assistant-professors', 'https://www.cc.gatech.edu/event/group/institute-data-engineering-and-science-ideas', 'https://www.cc.gatech.edu/media-contacts', 'https://www.cc.gatech.edu/news/648961/new-global-top-5-ranking-based-faculty-research-success', 'https://cse.gatech.edu/', 'https://www.cc.gatech.edu/people?page=11', 'https://scs.gatech.edu/', 'https://osp.gatech.edu/', 'https://ic.gatech.edu/', 'https://www.cc.gatech.edu/news/dual-fellowship-awards-underscore-computer-science-professors-research-impact', 'https://www.cc.gatech.edu/news', 'https://www.cc.gatech.edu/people?page=8', 'https://www.cc.gatech.edu/about/support-the-college/cap', 'https://www.cc.gatech.edu/support-college', 'https://www.cc.gatech.edu/event/category/career-professional-development', 'https://www.cc.gatech.edu/event/group/institute-robotics-and-intelligent-machines-irim', 'https://www.cc.gatech.edu/recruiting-college-computing', 'https://www.cc.gatech.edu/event/group/institute-people-and-technology-ipat', 'https://oria.gatech.edu/export-control', 'https://www.cc.gatech.edu/event/category/training-workshop', 'https://www.cc.gatech.edu/event/category/seminar-lecture-colloquium', 'https://www.cc.gatech.edu/corporate-recruiting', 'https://transformation.gatech.edu', 'https://www.cc.gatech.edu/events', 'https://www.cc.gatech.edu/compiler-gt-computing-communitys-weekly-newsletter', 'https://sci.cc.gatech.edu', 'https://www.cc.gatech.edu/calendar', 'https://www.cc.gatech.edu/people', 'https://www.cc.gatech.edu/people?page=12', 'https://www.cc.gatech.edu/college-computing-broadening-participation-computing-plan-approved', 'https://scp.cc.gatech.edu/', 'https://www.cc.gatech.edu/event/group/machine-learning-georgia-tech-mlgt'}
Computing,{'https://www.cc.gatech.edu/people?page=66', 'https://www.cc.gatech.edu/news/tag/cybersecurity', 'https://www.cc.gatech.edu/news/phd-student-developing-trust-peace-mind-smart-webcam-cover', 'https://www.cc.gatech.edu/news/professor-deploying-anti-plagiarism-detection-tool-900-student-course', 'https://www.cc.gatech.edu/', 'https://www.cc.gatech.edu/news/new-faculty-member-brings-fearless-approach-ubiquitous-computing', 'https://www.cc.gatech.edu/office-development', 'https://www.cc.gatech.edu/news/639022/cybersecurity-computer-science-take-top-spots-national-rankings', 'https://www.cc.gatech.edu/news/tag/helping-stories', 'https://www.cc.gatech.edu/event/category/conference-symposium', 'https://www.cc.gatech.edu/news/school-welcomes-four-new-assistant-professors', 'https://www.cc.gatech.edu/event/group/institute-data-engineering-and-science-ideas', 'https://www.cc.gatech.edu/media-contacts', 'https://www.cc.gatech.edu/news/648961/new-global-top-5-ranking-based-faculty-research-success', 'https://www.cc.gatech.edu/people?page=11', 'https://ic.gatech.edu/', 'https://www.cc.gatech.edu/news/dual-fellowship-awards-underscore-computer-science-professors-research-impact', 'https://www.cc.gatech.edu/news', 'https://www.cc.gatech.edu/people?page=8', 'https://www.cc.gatech.edu/about/support-the-college/cap', 'https://www.cc.gatech.edu/support-college', 'https://www.cc.gatech.edu/event/category/career-professional-development', 'https://www.cc.gatech.edu/event/group/institute-robotics-and-intelligent-machines-irim', 'https://www.cc.gatech.edu/recruiting-college-computing', 'https://www.cc.gatech.edu/event/group/institute-people-and-technology-ipat', 'https://www.cc.gatech.edu/event/category/training-workshop', 'https://www.cc.gatech.edu/event/category/seminar-lecture-colloquium', 'https://www.cc.gatech.edu/corporate-recruiting', 'https://www.cc.gatech.edu/events', 'https://www.cc.gatech.edu/compiler-gt-computing-communitys-weekly-newsletter', 'https://sci.cc.gatech.edu', 'https://www.cc.gatech.edu/calendar', 'https://www.cc.gatech.edu/people', 'https://www.cc.gatech.edu/people?page=12', 'https://www.cc.gatech.edu/college-computing-broadening-participation-computing-plan-approved', 'https://news.gatech.edu/news/2020/09/14/georgia-tech-continues-lead-among-universities-nationwide-engineering-and-computing', 'https://www.cc.gatech.edu/event/group/machine-learning-georgia-tech-mlgt'}
School,{'https://cse.gatech.edu/', 'https://sci.cc.gatech.edu', 'https://scs.gatech.edu/', 'https://scp.cc.gatech.edu/', 'https://www.cc.gatech.edu/news/school-welcomes-four-new-assistant-professors', 'https://ic.gatech.edu/'}
Computational,{'https://cse.gatech.edu/'}
Science,{'https://cse.gatech.edu/', 'https://www.cc.gatech.edu/news/639022/cybersecurity-computer-science-take-top-spots-national-rankings', 'https://scs.gatech.edu/', 'https://www.cc.gatech.edu/event/group/institute-data-engineering-and-science-ideas', 'https://www.cc.gatech.edu/news/dual-fellowship-awards-underscore-computer-science-professors-research-impact'}
and,{'https://www.cc.gatech.edu/event/group/institute-people-and-technology-ipat', 'https://cse.gatech.edu/', 'https://hr.gatech.edu/georgia-tech-human-resources-forms-and-guides', 'https://www.cc.gatech.edu/event/group/institute-robotics-and-intelligent-machines-irim', 'https://grants.gatech.edu/The-Problems-with-Overspending-on-Sponsored-Awards', 'https://scp.cc.gatech.edu/', 'https://www.cc.gatech.edu/event/group/institute-data-engineering-and-science-ideas', 'https://grants.gatech.edu/', 'https://news.gatech.edu/news/2020/09/14/georgia-tech-continues-lead-among-universities-nationwide-engineering-and-computing'}
Engineering,{'https://cse.gatech.edu/', 'https://news.gatech.edu/news/2020/09/14/georgia-tech-continues-lead-among-universities-nationwide-engineering-and-computing', 'https://www.cc.gatech.edu/event/group/institute-data-engineering-and-science-ideas'}
|,{'https://oria.gatech.edu/', 'https://adminx.gatech.edu/hr', 'https://www.cc.gatech.edu/people?page=66', 'https://www.cc.gatech.edu/news/tag/cybersecurity', 'https://osp.gatech.edu/research-gifts', 'https://www.cc.gatech.edu/news/phd-student-developing-trust-peace-mind-smart-webcam-cover', 'https://www.cc.gatech.edu/news/professor-deploying-anti-plagiarism-detection-tool-900-student-course', 'https://sso.gatech.edu/cas/login?service=https%3A%2F%2Fscs.gatech.edu%2Fuser%3Fdestination%3Dnode%2F12740', 'https://www.cc.gatech.edu/news/new-faculty-member-brings-fearless-approach-ubiquitous-computing', 'https://gov.gatech.edu/innovation-partners', 'https://www.cc.gatech.edu/office-development', 'https://www.cc.gatech.edu/news/639022/cybersecurity-computer-science-take-top-spots-national-rankings', 'https://gov.gatech.edu/georgia-techs-strategic-energy-internship', 'https://grants.gatech.edu/The-Problems-with-Overspending-on-Sponsored-Awards', 'https://www.cc.gatech.edu/news/tag/helping-stories', 'https://www.cc.gatech.edu/event/category/conference-symposium', 'https://www.cc.gatech.edu/news/school-welcomes-four-new-assistant-professors', 'https://www.cc.gatech.edu/event/group/institute-data-engineering-and-science-ideas', 'https://grants.gatech.edu/', 'https://sso.gatech.edu/cas/login?service=https%3A%2F%2Fsso.gatech.edu%2Fcas%2Fidp%2Fprofile%2FSAML2%2FCallback%3FentityId%3Dhttps%253A%252F%252Fmediaspace.gatech.edu', 'https://www.cc.gatech.edu/media-contacts', 'https://www.cc.gatech.edu/news/648961/new-global-top-5-ranking-based-faculty-research-success', 'https://gov.gatech.edu/internship-opportunities', 'https://sso.gatech.edu/cas/login?service=https%3A%2F%2Fscs.gatech.edu%2Fcas%3Fdestination%3Dnode%2F12740', 'https://policylibrary.gatech.edu/employment/flexwork-arrangements', 'https://policylibrary.gatech.edu/employment/workers-compensation', 'https://cse.gatech.edu/', 'https://www.cc.gatech.edu/people?page=11', 'https://scs.gatech.edu/', 'https://osp.gatech.edu/', 'https://gov.gatech.edu/vote', 'https://ic.gatech.edu/', 'https://www.cc.gatech.edu/news/dual-fellowship-awards-underscore-computer-science-professors-research-impact', 'https://www.cc.gatech.edu/news', 'https://www.cc.gatech.edu/people?page=8', 'https://www.cc.gatech.edu/about/support-the-college/cap', 'https://www.cc.gatech.edu/support-college', 'https://www.cc.gatech.edu/event/category/career-professional-development', 'https://news.gatech.edu/social-media-directory', 'https://www.cc.gatech.edu/recruiting-college-computing', 'https://www.cc.gatech.edu/event/group/institute-robotics-and-intelligent-machines-irim', 'https://www.careers.gatech.edu/boarding', 'https://www.cc.gatech.edu/event/group/institute-people-and-technology-ipat', 'https://oria.gatech.edu/export-control', 'https://www.cc.gatech.edu/event/group/machine-learning-georgia-tech-mlgt', 'https://www.cc.gatech.edu/event/category/training-workshop', 'https://www.cc.gatech.edu/event/category/seminar-lecture-colloquium', 'https://www.cc.gatech.edu/corporate-recruiting', 'https://transformation.gatech.edu', 'https://www.careers.gatech.edu/gthr-bookings', 'https://gov.gatech.edu/economic-development', 'https://news.gatech.edu/subscribe', 'https://www.cc.gatech.edu/events', 'https://hr.gatech.edu/working-tech-arrangement', 'https://gov.gatech.edu/state/capitol-jackets-advocacy-network/how', 'https://www.cc.gatech.edu/compiler-gt-computing-communitys-weekly-newsletter', 'https://hr.gatech.edu/flexwork-guidelines', 'https://hr.gatech.edu/georgia-tech-human-resources-forms-and-guides', 'https://www.cc.gatech.edu/calendar', 'https://www.cc.gatech.edu/people', 'https://sso.gatech.edu/cas/login?service=https%3A//hr.gatech.edu/casservice', 'https://www.cc.gatech.edu/college-computing-broadening-participation-computing-plan-approved', 'https://www.cc.gatech.edu/people?page=12', 'https://gov.gatech.edu/', 'https://news.gatech.edu/news/2020/09/14/georgia-tech-continues-lead-among-universities-nationwide-engineering-and-computing', 'https://www.careers.gatech.edu'}
Interactive,{'https://ic.gatech.edu/'}
Computer,{'https://www.cc.gatech.edu/news/dual-fellowship-awards-underscore-computer-science-professors-research-impact', 'https://www.cc.gatech.edu/news/639022/cybersecurity-computer-science-take-top-spots-national-rankings', 'https://scs.gatech.edu/'}
Media,{'https://www.cc.gatech.edu/media-contacts'}
Contacts,{'https://www.cc.gatech.edu/media-contacts'}
Support,{'https://www.cc.gatech.edu/support-college'}
the,{'https://www.cc.gatech.edu/recruiting-college-computing', 'https://sci.cc.gatech.edu', 'https://www.cc.gatech.edu/support-college', 'https://www.cc.gatech.edu/compiler-gt-computing-communitys-weekly-newsletter'}
Corporate,{'https://www.cc.gatech.edu/about/support-the-college/cap', 'https://www.cc.gatech.edu/corporate-recruiting'}
Recruiting,{'https://www.cc.gatech.edu/recruiting-college-computing', 'https://www.cc.gatech.edu/corporate-recruiting'}
Broadening,{'https://www.cc.gatech.edu/college-computing-broadening-participation-computing-plan-approved'}
Participation,{'https://www.cc.gatech.edu/college-computing-broadening-participation-computing-plan-approved'}
in,{'https://sci.cc.gatech.edu', 'https://www.cc.gatech.edu/college-computing-broadening-participation-computing-plan-approved', 'https://www.cc.gatech.edu/news/639022/cybersecurity-computer-science-take-top-spots-national-rankings', 'https://news.gatech.edu/news/2020/09/14/georgia-tech-continues-lead-among-universities-nationwide-engineering-and-computing'}
Plan,{'https://www.cc.gatech.edu/college-computing-broadening-participation-computing-plan-approved'}
(approved),{'https://www.cc.gatech.edu/college-computing-broadening-participation-computing-plan-approved'}
Affiliates,{'https://www.cc.gatech.edu/about/support-the-college/cap'}
Program,{'https://www.cc.gatech.edu/about/support-the-college/cap'}
Ph.D.,{'https://www.cc.gatech.edu/news/phd-student-developing-trust-peace-mind-smart-webcam-cover'}
Student,{'https://www.cc.gatech.edu/news/phd-student-developing-trust-peace-mind-smart-webcam-cover'}
